"chrome";"knoxly";"scheda";"TOTALE"
2.3;13.33;15.32;30.95
7.07;13.33;16.21;36.61
7.07;13.33;18.01;38.41
7.07;13.33;18.45;38.85
7.07;13.33;18.19;38.59
7.01;13.33;18.46;38.8
7.01;13.33;18.56;38.9
7.01;13.33;20.16;40.5
7.01;13.33;19.17;39.51
7.01;13.33;19.37;39.71
7.08;13.33;6.27;26.68
7.02;13.33;18.29;38.64
7.02;13.33;18.54;38.89
7.02;13.33;19.29;39.64
7.02;13.33;20.29;40.64
7.02;13.33;19.25;39.6
7.02;13.33;18.39;38.74
7.02;13.33;18.14;38.49
7.02;13.33;18.29;38.64
7.02;13.33;18.07;38.42
7.02;13.33;18.49;38.84
7.02;13.33;19.03;39.38
7.02;13.33;19.03;39.38
7.02;13.33;18.15;38.5
7.02;13.33;18.21;38.56
7.08;13.33;18.44;38.85
7.08;13.33;18.44;38.85
7.01;13.33;19.08;39.42
7.01;13.33;6.27;26.61
7.01;13.33;18.39;38.73
7.01;13.33;19.32;39.66
7.01;13.33;19.55;39.89
7.01;13.33;20.11;40.45
7.01;13.33;19.22;39.56
7.01;13.33;19.28;39.62
7.01;13.33;19.08;39.42
7.01;13.33;19.46;39.8
7.01;13.33;20.14;40.48
7.01;13.33;19.21;39.55
7.01;13.33;20.33;40.67
7.01;13.33;20.36;40.7
7.01;13.33;20.43;40.77
7.01;13.33;6.33;26.67
7.07;13.33;20.45;40.85
7.01;13.33;6.36;26.7
7.07;13.33;6.33;26.73
7.07;13.33;20.06;40.46
7.01;13.33;20.21;40.55
7.02;13.33;20.26;40.61
7.02;13.33;21.05;41.4
7.08;13.33;6.51;26.92
7.08;13.33;6.36;26.77
7.08;13.33;19.46;39.87
7.02;13.33;19.51;39.86
9.28;13.33;20.09;42.7
9.28;13.33;20.09;42.7
9.26;13.33;19.12;41.71
9.26;13.33;20.14;42.73
9.32;13.33;19.58;42.23
9.26;13.33;19.38;41.97
9.26;13.33;21.03;43.62
9.26;13.33;6.06;28.65
9.26;13.33;20.32;42.91
9.32;13.33;20.32;42.97
9.26;13.33;20.11;42.7
9.26;13.33;20.49;43.08
9.32;13.35;20.05;42.72
9.32;13.35;20.05;42.72
9.26;13.35;5.9;28.51
9.32;13.35;21.02;43.69
9.32;13.35;19.13;41.8
9.26;13.35;19.57;42.18
9.26;13.35;19.59;42.2
9.26;13.35;19.45;42.06
9.26;13.35;6.31;28.92
9.26;13.35;19.59;42.2
9.26;13.35;20.39;43
9.26;13.35;20.18;42.79
9.26;13.35;20.09;42.7
9.26;13.35;20.11;42.72
9.26;13.35;20.15;42.76
9.26;13.35;20.24;42.85
9.27;13.35;20.35;42.97
