"ram";"time";"cpu"
11.644;1.35;4
11.647;1.31;3
11.65;1.41;5
11.65;1.41;4
11.651;1.45;4
11.651;1.41;3
11.651;1.31;4
11.651;1.41;4
11.652;1.44;4
11.652;1.35;3
11.654;1.41;3
11.654;1.44;3
11.654;1.6;4
11.657;1.41;4
11.663;1.34;4
11.665;1.34;4
11.675;1.34;5
11.697;1.41;4
11.699;1.41;4
11.699;1.41;3
11.7;1.31;0
11.701;1.44;3
11.702;1.56;3
11.705;1.4;3
11.708;1.41;3
11.709;1.34;5
11.716;1.41;4
11.718;1.31;3
11.722;1.31;1
11.724;1.31;4
11.725;1.41;3
11.727;1.41;3
11.727;1.31;4
11.729;1.51;4
11.733;1.44;3
11.733;1.31;4
11.737;1.44;3
11.743;1.41;4
11.746;1.34;5
11.75;1.31;2
11.753;1.31;3
11.756;1.44;3
11.759;1.41;2
11.762;1.31;3
11.762;1.41;4
11.762;1.34;4
11.765;1.42;3
11.766;1.42;4
11.769;1.41;3
11.771;1.32;3
11.772;1.41;4
11.772;1.41;3
11.773;1.41;4
11.775;1.31;3
11.779;1.44;4
11.782;1.41;3
11.782;1.33;4
11.784;1.41;4
11.79;1.52;4
11.793;1.31;3
11.793;1.42;4
11.794;1.3;3
11.796;1.31;4
11.801;1.31;3
11.801;1.31;4
11.806;1.31;4
11.808;1.41;4
11.809;1.31;4
11.816;1.32;1
11.819;1.41;4
11.822;1.4;2
11.824;1.41;1
11.825;1.41;4
11.829;1.31;4
11.834;1.41;3
11.838;1.41;4
11.84;1.41;3
11.841;1.31;3
11.843;1.41;4
11.844;1.31;3
11.845;1.31;3
11.848;1.31;4
11.852;1.31;4
11.857;1.41;4
11.857;1.3;3
11.861;1.41;4
11.864;1.41;3
11.866;1.41;4
11.869;1.54;4
11.87;1.4;4
11.875;1.41;3
11.88;1.31;4
11.889;1.41;3
11.892;1.41;3
11.893;1.41;3
11.893;1.3;3
11.896;1.41;4
11.898;1.41;41.9
11.898;1.4;4
11.904;1.31;3
11.905;1.41;2
11.908;1.31;5
11.909;1.4;3
11.911;1.44;3
11.913;1.5;3
11.915;1.44;4
11.917;1.31;3
11.919;1.31;3
11.922;1.54;3
11.923;1.41;3
11.924;1.41;4
11.924;1.31;3
11.926;1.31;41.9
11.925;1.41;4
11.934;1.41;5
11.936;1.31;3
11.94;1.31;4
11.944;1.41;3
11.944;1.31;3
11.947;1.41;4
11.947;1.41;4
11.947;1.33;4
11.949;1.31;17
11.95;1.41;4
11.951;1.41;3
11.952;1.41;4
11.952;1.3;3
11.956;1.76;3
11.959;1.4;4
11.962;1.4;3
11.962;1.4;4
11.963;1.3;3
11.966;1.42;4
11.969;1.31;3
11.972;1.3;2
11.972;1.41;4
11.976;1.41;4
11.977;1.3;4
11.981;1.34;4
11.987;1.36;4
11.99;1.41;4
11.991;1.31;4
11.993;1.41;3
11.993;1.41;3
11.993;1.31;3
11.994;1.31;4
12;1.55;4
12.002;1.32;4
12.003;1.3;1
12.004;1.3;1
