chrome;knoxly;scheda;totale
19.4;0;90;109.4
17.2;0;69.6;86.8
12.1;0;8.8;20.9
5.2;0;94.5;99.7
19.3;0.1;98.3;117.7
18.3;0;66.6;84.9
6.1;0.1;9.3;15.5
8.8;0;98.7;107.5
14.7;0;110;124.7
16.6;0;90;106.6
14.4;0;94.7;109.1
18.4;0;95.4;113.8
16.8;0;87.3;104.1
17.4;0;9.6;27
7.6;0.1;93.5;101.2
13.6;0.1;119.9;133.6
14.8;0;97.3;112.1
15.9;0;93.2;109.1
14.7;0.1;92;106.8
16.8;0;93.2;110
25.2;0;10;35.2
10.8;0;77.7;88.5
13.7;0;117.1;130.8
17.9;0;93.6;111.5
14.6;0;95.9;110.5
16.2;0.6;19.6;36.4
7.5;0;12.2;19.7
12.1;0;93;105.1
21.8;0;99.6;121.4
18;0;90.6;108.6
16.8;0;92.1;108.9
15.4;0.5;91.6;107.5
20.1;0;8.9;29
6;0;97.1;103.1
15.7;0.1;93.4;109.2
18.3;0;8.8;27.1
2.9;0;124.8;127.7
16.3;0;92.8;109.1
19.2;0;8.8;28
2.5;0;44;46.5
15.3;0.1;86.8;102.2
16;0;98.2;114.2
16.8;0;90.8;107.6
16.7;0;8.8;25.5
6.2;0;101.7;107.9
17.1;0;98.5;115.6
15;0;54.6;69.6
7.1;0;9.3;16.4
7.9;0;91;98.9
18.3;0.1;78;96.4
6.9;0.1;11.2;18.2
0.9;0;99.9;100.8
18;0;8.9;26.9
6.1;0;97.9;104
15.5;0;98.5;114
15;0;94;109
16.1;0;91.2;107.3
16.4;0;92.8;109.2
17.5;0;95.3;112.8
30.9;0;8.9;39.8
7.2;0;86.2;93.4
11.7;0;85.5;97.2
14.2;0;91.6;105.8
17.8;0;94.3;112.1
15.7;0;89.9;105.6
13.6;0;9.2;22.8
7.3;0;95.2;102.5
16.1;0;90.4;106.5
16.8;0;118.2;135
14;0;93.2;107.2
14.8;0;91.1;105.9
16;0;114.2;130.2
20.8;0.4;10.1;31.3
5.9;0;16.3;22.2
15.6;0;91;106.6
